0,DataLink$Name,DataLink$url,DataLink$Location,DataLink$Intro,linkSkill
1,Amelia McNamara ,https://www.linkedin.com/in/ameliamcnamara/,"Minnesota, United States","Assistant Professor of Computer & Information Sciences, University of St Thomas. PhD in statistics from UCLA. My research is multidisciplinary, encompassing statistics, computer science, and education. Other research interests include data visualization, spatial statistics, and statistical computing.",Statistics|R|Data Analysis
2,Andrew Ng,https://www.linkedin.com/in/andrewyng/,"California, United States",Personal home page: http://andrewng.org,Machine Learning|Artificial Intelligence|Educational Technology
3,Angela Bassa ,https://www.linkedin.com/in/angelabassa/,"Massachusetts, United States","For the past 15 years I’ve helped businesses intelligently use data to make decisions and trained others to do so – and I like to see the impact of my work making a difference every day. The best managers serve their teams by removing roadblocks and giving individual contributors autonomy and ownership, and my teams produce the highest quality data science solutions and inspire others to do the same. I have high standards and take pride in delivering challenging technical solutions at scale. As a leader of data science and engineering teams, I have earned the respect of talented practitioners. I am equally happy talking about deep learning and statistical inference, as I am brainstorming about practical experimental design and technology career development. My thoughts on data science management have been published in the Harvard Business Review and the Wall Street Journal, and my projects as an individual contributor have gone on to earn accolades such as INFORMS’ Edelman Award for Achievement in Operations Research and the Management Sciences; and the Massachusetts Innovation & Technology Exchange award for Big Data and Analytics Innovations. I find passion in the craft and am constantly seeking improvement and better ways to solve tough problems. If there's something you'd like to chat about, I’m always looking for an interesting problem to solve.",Analysis|Analytics|Strategy
4,Bernard Marr,https://www.linkedin.com/in/bernardmarr/,"London, United Kingdom","Bernard Marr is an internationally best-selling author, popular keynote speaker, futurist, and a strategic business & technology advisor to governments and companies. He helps organizations improve their business performance, use data more intelligently, and understand the implications of new technologies such as artificial intelligence, big data, blockchains, and the Internet of Things.

Find out more at www.bernardmarr.com

LinkedIn has ranked Bernard as one of the world’s top 5 business influencers. He is a frequent contributor to the World Economic Forum and writes a regular column for Forbes. Every day Bernard actively engages his 1.5 million social media followers and shares content that reaches millions of readers.

Bernard Marr is one of the world's most highly respected experts when it comes to business performance, digital transformation and the intelligent use of data in business. In that capacity he has worked with and advised many of the world's best-known organisations including Accenture, Astra Zeneca, Bank of England, Barclays, BP, Cisco, CRH, DHL, Fujitsu, Gartner, HSBC, IBM, Jaguar Land Rover, Mars, Ministry of Defence, Microsoft, NATO, The Home Office, NHS, Oracle, Orange, Tetley, T-Mobile, Toyota, Royal Air Force, SAP, Shell, the United Nations, Vodafone, Walgreens Alliance Boots, Walmart, among many others.

He is the author of 15 books and hundreds of high profile reports and articles, including the international best-sellers ‘Data Strategy’, ‘Big Data in Practice’, 'Big Data', 'Key Business Analytics', ‘Key Performance Indicators’, 'The Intelligent Company’, ‘Managing and Delivering Performance’ and ‘Strategic Performance Management’. His books have been translated into over 20 languages and have earned numerous Amazon No 1 bestselling positions, the CMI Management Book of the Year award, the Axiom book award and the WHSmith best business book award.",Strategy|Business Intelligence|Big Data
5,Bob Hayes,https://www.linkedin.com/in/bobehayes/,"Washington, United States","""If you can't explain it simply, you don't understand it well enough."" ~ Albert Einstein
I am interested in data science, machine learning and customer experience and how they all work together. I conduct research in these areas and apply this knowledge to help businesses make decisions that are based on fact, not hyperbole. I publish my research in my books and on my blog(http://businessoverbroadway.com).Specialties/Interests:- Getting value from data through the scientific method- Big Data and data science- Machine learning- All things analytics- Educating the masses on statistics and statistical thinking- Attitudinal measurement, including customer/employee satisfaction
- Public speaking",Analytics|Customer Experience|Customer Insight
6,Carla Gentry,https://www.linkedin.com/in/datanerd13/,"Florida, United States","Being a single mother of two sons was a challenge but no one has ever accused me of backing down from a challenge, eager to learn and grow, I entered the University of Tennessee at Chattanooga in the spring of 1993. I worked in the Developmental Math Lab my entire tenure with UTC, assisting students with all levels of mathematics. Upon graduating from UTC with a double major, Applied Mathematics and Economics in 1998, I moved to the Chicago area to start my career in analytics. During the past 19+ years, I have worked with Fortune 100 and 500 companies including but not limited to, Discover Financial Services, J&J, Hershey, Kraft, Kellogg’s, SCJ, McNeil and Firestone. Acting as a liaison between the IT department and the Executive staff, I am able to take huge complicated databases, decipher business needs and come back with intelligence that quantifies spending, profit and trends. Being called a data nerd is a badge of courage for this curious Mathematician/Economist because knowledge is power and companies are now acknowledging its importance.",Segmentation|Data Mining|Data Analysis
7,Charles Araujo,https://www.linkedin.com/in/charlesaraujo,"New York, United States","<U+2328> Personal Website: www.charlesaraujo.com <U+25CF> Twitter: @charlesaraujo

Charles Araujo is the accidental author of the best selling book, The Quantum Age of IT: Why Everything You Know About IT is About to Change and the author of three additional forthcoming books:

  <U+25CF> The Ecosystem Advantage: How to Build the Digital Ecosystem that will Help You Win in the Digital Era (IDT Publishing, Q3 2016)
  <U+25CF> Performance Driven IT: How Metrics Can Transform IT Services & Operations (TSO, Q4 2016)
  <U+25CF> Thinking Digital: How to Thrive and Win as a Leader in the Digital Era (IDT Publishing, Q2 2017)

He is an internationally recognized authority on “Digital Leadership” and shares his message of hope about the future of Digital Enterprises around the world. He is the founder of The Institute for Digital Transformation, a sought after keynote speaker and an advisor and consultant to both enterprise organizations and technology providers. 

He is a regular contributor to both CIO Insight Magazine and InformationWeek and has been quoted in or published in magazines and websites including Time, CIO, CIO & Leader, IT Business Edge, TechRepublic, Computerworld, USA Today and Forbes.

Founding The Institute in 1997 (first operating under the names CastlePointe and The IT Transformation Institute), he is passionate about the power of technology to deliver competitive and transformational advantage to organizations and in the critical need to develop next generation “digital leaders” that can transform their organizations into Digital Enterprises.

As an advisor and consultant, Charles lead numerous large scale transformation programs for Fortune 1000 organizations and government institutions involving as many as 10,000 program participants. Prior to founding the organization, Charles spent many years working in and with IT organizations in the healthcare, financial services and aerospace industries, directly leading teams as large as 100+ team members.",IT Service Management | IT Strategy | Enterprise Software
8,Craig Brown,https://www.linkedin.com/in/craigbrownphd/,"Texas, United States","Dr. Craig Brown is a top Techpreneur and Technology expert covering 30+ years of various technological and innovative projects for top fortune 1000 companies. He is also a Big Data, Data Science and Data Analytics subject matter expert. As a technology & business consultant, in the technology industry, he seeks to offer advice that minimizes the use of technical jargon and maximizes the use of real language, helping ease challenges that most companies and professionals face daily. Brown has doctoral degrees from University of Pennsylvania and Cornell University, an MBA from the Wharton School of Business and BS degrees from University of Pennsylvania. Dr. Brown has earned 25 professional certifications in technology & business and is a leading expert in the IT arena. Focus: Thought Leadership -Big Data, Database, Cloud, Artificial Intelligence, Machine Learning, Data Science Websites www.craigbrownphd.com -> Personal
https://twitter.com/craigbrownphd -> Twitter https://www.facebook.com/DrCraigBrown -> Facebook",Big Data|Hadoop|NoSQL
10,Dave Whitney,https://www.linkedin.com/in/daveawhitney,"Arizona, United States","Recognized business leader in radiology, imaging, and healthcare platform design & innovation. Dave provides subject matter expertise in the fields of enterprise medical imaging, driving radiology practice success, business collaboration and publisher of healthcare thought leadership.

Leadership - Innovation - Strategy - Transformation",Innovation | Healthcare Information Exchange | Radiology
11,David Robinson ,https://www.linkedin.com/in/david-robinson-3584642a/,"New York, United States",,Bioinformatics|Statistics|Machine Learning
13,Deepak Seth,https://www.linkedin.com/in/deepaksethitleader,"Texas, United States","Accomplished Global Technology Leader with 20+ years of progressive experience in IT strategy, enterprise architecture, program management, application and enterprise system integration. Excellent communicator who engages all levels in their own language (technical, business, C-Suite) to articulate complex technical concepts effectively.

Strategic Visionary & Innovation Driver who takes out-of-the-box solutions to full operational delivery. Advanced executive strategy discussions focused on new applications for emerging technologies to drive business enablement, revenue growth, cost savings, and competitive advantage across industry sectors (healthcare, technology, services, consumer). Business DNA combines key traits: driven, energetic, action-oriented, analytical, big-picture perspective.

Core Competencies
Strategic Planning  Global Team Leadership  Enterprise Architecture    Business Transformation  OPEX/CAPEX Product/Systems Development   Project/Program Management   Risk Management   IT Governance Big Data/BI  Analytics   CRM/ERP   Workflow Automation  System Integration   Technology Innovation",Business Intelligence | Strategy | Cross-functional Team Leadership
15,Dion Hinchcliffe,https://www.linkedin.com/in/dhinchcliffe,"Washington DC, United States","Dion Hinchcliffe is an internationally recognized thought leader, IT expert, enterprise architect, bestselling book author, frequent keynote speaker, analyst, and transformation consultant. Dion works with the leadership teams of Fortune 500 and Global 2000 firms to drive successful change with emerging digital methods including employee experience, online community, cloud computing, data centers, digital business models, Internet ecosystems, Internet of Things, workforce collaboration, and the future of work.

A veteran of enterprise IT, Dion has been working for two decades with leading-edge methods to bridge the widening gap between business and technology. He has extensive practical experience with enterprise strategy and operational issues and he consults, advises, and writes prolifically on the convergence of business and technology.

Dion is particularly well known for his thought leadership in digital workplace, enterprise IT, customer experience, agile methods, CIO issues, and digital transformation. He is a widely followed commentator and industry analyst for ZDNet. Dion also works in the trenches with clients in the Fortune 1000, government, and Internet startup community. He is currently VP and Principal Analyst for Constellation Research and an executive fellow at the Tuck School of Business.

Dion has been featured or quoted in CIO Magazine, Computerworld, Fast Company, Wired, The Wall Street Journal, Forbes, and BusinessWeek. He is also a frequent keynote speaker and is co-author of two books on intersection of technology and business including Web 2.0 Architectures from O'Reilly as well as the bestselling Social Business By Design (John Wiley & Son.) He was recently identified by Robert Half International as one of the top 20 people IT leaders mention most, as well as a top 3 CIO influencer.

Specialties: Enterprise IT, cloud, strategy, workshops, CXO advisory, startups, digital transformation ,data center design, innovation, performance management",Strategy | Enterprise Software | Enterprise Architecture
18,Eric Wilson,https://www.linkedin.com/in/wilsondemand,"Kentucky, United States","Certified Professional Businesses Forecaster (CPF), Over 20 years planning and analytics experience, Recipient of the 2016 Excellence in Business Forecasting & Planning Award, Thought Leader, Futurist, Historian, Activist, Avant-garde, Accomplished Author, Public Speaker, Husband, and Dad

Core competencies: 
• Analytics Demand Planning & Forecast •(CPFR) Collaborative Planning and Forecast Replenishment   •Sales & Operational Planning  (S&OP / IBP) •New Product Forecasting •Public Speaking  •Supply Chain Transformation •Segmentation •Mentoring and Development  •Problem Solving •Team Leadership",Cross-functional Team Leadership | Forecasting | Process Improvement
19,Evan Sinar,https://www.linkedin.com/in/evansinar/,"Pennsylvania, United States",,Talent Management|Psychometrics|Leadership Development
21,Gregory Piatetsky,https://www.linkedin.com/in/gpiatetsky/,"Massachusetts, United States","Gregory Piatetsky-Shapiro, Ph.D., is the president of KDnuggets. He is a well-known expert in Business Analytics, Data Mining, and Data Science and a top influencer in the field. He was no. 1 on LinkedIn Top Voices in 2018 on Data Science and Analytics. Gregory is a co-founder of KDD (Knowledge Discovery and Data mining conferences) and co-founder and past chair of SIGKDD, professional organization for Knowledge Discovery and Data Mining. Gregory has over 60 publications and edited several books and collections on data mining and knowledge discovery.",Data Mining| Business Analytics|Data Science|Predictive Analytics
22,Hessie Jones,https://www.linkedin.com/in/hessiejones1,"Pickering, Canada","I have a passion for technology and try to stay on the cutting edge of the Internet, artificial intelligence, social media, and video and how they impact marketers and advertisers as the media landscape morphs with these mediums. 

These days we need to go beyond current KPI's and measure success based on customer needs, that is both time relevant and business relevant. This is the advent of business transformation and the consumer is dictating this paradigm shift in commerce and communication across all industry sectors. 

When I started ArCompany a few years back we saw the future: taking Social Media to the inevitable next level: operationalizing social and showing companies how to capitalize on social intelligence.

The tide is turning and this vision is now a reality. I'm now tackling how business begins to transform because of AI's impetus and how this new technology will require changes to ensure ethical distribution. It will change culture, process and mindset. My belief: in order for AI to scale, we need to educate on AI impacts on privacy, policy, process, culture and jobs and provide the foundations and how they mobilize in preparation for its arrival.  

With over 18 years in the digital space, I have worked within these disciplines: AI, data analytics, big data, social media strategy, performance tracking and optimization, influencer strategy, content strategy and development, community management, application development for web and mobile, client management, search and online media strategy/marketing, product marketing, sponsorship marketing, direct and database marketing, loyalty/CRM, education, training, outreach, content management, and PR.

...While working with/for brands including Second Cup, LCBO, Aon, Adidas, Citi, Taco Bell, Pizza Hut, Absolut Vodka, Crystal Head Vodka, Columbia House, CIBC, Yahoo! (Answers, Music, FIFA, Mail, News, Finance) Overlay.TV, Juno Awards, Canadian New Media Award, TO Grand Prix, UPS, Esso, Lexus, Scotiabank etc.",Digital Marketing | Social Media Marketing | Online Advertising
23,Hilary Mason,https://www.linkedin.com/in/hilarymason/,"New York, United States",I <3 data and cheeseburgers.,Machine Learning|Data Mining|Python
26,Jim Marous,https://www.linkedin.com/in/jimmarous,"Ohio, United States","To prepare for the future, you must ""Embrace Change, Take Risks and Disrupt Yourself""™.

Named as one of the most influential people in banking and a Top 5 Fintech Influencer to Follow, Jim Marous is an internationally recognized financial industry strategist, co-publisher of The Financial Brand and the owner and publisher of the Digital Banking Report. Marous advises on innovation, portfolio growth, customer experience, marketing strategies, channel shift, payments and digital transformation within the financial services industry.

As a sought after keynote speaker, author and recognized authority on disruption in the financial services industry, Marous is a contributor to Forbes and has been featured by CNBC and CNN, The Wall Street Journal, New York Times, The Financial Times, The Economist, The American Banker, Accenture and the Irish Tech News and has spoken to audiences worldwide. Jim has also advised the White House on banking policy and is a regular contributor to several publications and podcasts.",Fintech | Financial Services | Banking
27,Joe Cheng ,https://www.linkedin.com/in/jcheng/,"Washington, United States",,JavaScript|R|REST
28,Julia Silge ,https://www.linkedin.com/in/juliasilge/,"Utah, United States","I am a PhD data scientist who knows how to ask insightful questions, how to apply sophisticated analytical tools, and how to learn quickly. I understand how to solve problems and think critically, and I have proven writing and speaking abilities. Analyzing and interpreting complex datasets makes me happy, and I am known for being flexible, resourceful, and for achieving goals while maintaining a positive outlook. I work effectively in both independent and collaborative environments, and excel at communicating with diverse collaborators. SKILLS AND TOOLS -> data analysis, statistical modeling, and machine learning -> R, SQL (also rusty bits of Python and C) -> Github, Markdown, shell scripting, Linux -> writing and speaking for technical and general audiences",Data Analysis|Research|R
